year,exhibit_id,category,hierarchy_path,label,amount,file_name,storage_url,pdf_page,hierarchy_level,parent_entity
2025,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Experience,15568,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),916438,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Experience,782315,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),375,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,Total Deferred Inflows of Resources,4659299,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
2025,A,Net Assets,Primary Government > Business-type Activities,Unrestricted,1964494,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Business-type Activities
2025,A,Deferred Outflows of Resources,Primary Government > Governmental Activities,Pension Changes in Assumptions,21696,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Deferred Outflows of Resources,Primary Government > Governmental Activities,Pension Contributions After Measurement Date,56903,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Proportion,8506,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),4909632,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),17838727,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Business-type Activities
